Threshold,Accuracy,Precision,Recall,F1-score
0.1,0.8523489932885906,0.5045045045045045,0.835820895522388,0.6292134831460674
0.11,0.854586129753915,0.509090909090909,0.835820895522388,0.632768361581921
0.12,0.8590604026845637,0.5188679245283019,0.8208955223880597,0.6358381502890174
0.13,0.8612975391498882,0.5238095238095238,0.8208955223880597,0.6395348837209303
0.14,0.8612975391498882,0.5238095238095238,0.8208955223880597,0.6395348837209303
0.15,0.8590604026845637,0.5192307692307693,0.8059701492537313,0.631578947368421
0.16,0.8568232662192393,0.5145631067961165,0.7910447761194029,0.6235294117647059
0.17,0.8590604026845637,0.5196078431372549,0.7910447761194029,0.6272189349112426
0.18,0.8612975391498882,0.5247524752475248,0.7910447761194029,0.6309523809523809
0.19,0.8657718120805369,0.5353535353535354,0.7910447761194029,0.6385542168674698
0.2,0.8680089485458613,0.5408163265306123,0.7910447761194029,0.6424242424242425
0.21,0.8680089485458613,0.5416666666666666,0.7761194029850746,0.6380368098159509
0.22,0.8702460850111857,0.5473684210526316,0.7761194029850746,0.6419753086419753
0.23,0.87248322147651,0.5531914893617021,0.7761194029850746,0.6459627329192547
0.24,0.8747203579418344,0.5591397849462365,0.7761194029850746,0.65
0.25,0.87248322147651,0.5543478260869565,0.7611940298507462,0.6415094339622641
0.26,0.87248322147651,0.5543478260869565,0.7611940298507462,0.6415094339622641
0.27,0.8747203579418344,0.5604395604395604,0.7611940298507462,0.6455696202531646
0.28,0.8747203579418344,0.5604395604395604,0.7611940298507462,0.6455696202531646
0.29,0.8769574944071589,0.5666666666666667,0.7611940298507462,0.6496815286624203
0.3,0.8791946308724832,0.5730337078651685,0.7611940298507462,0.6538461538461539
0.31,0.8791946308724832,0.5730337078651685,0.7611940298507462,0.6538461538461539
0.32,0.8791946308724832,0.5730337078651685,0.7611940298507462,0.6538461538461539
0.33,0.883668903803132,0.5862068965517241,0.7611940298507462,0.6623376623376623
0.34,0.883668903803132,0.5862068965517241,0.7611940298507462,0.6623376623376623
0.35,0.8859060402684564,0.5930232558139535,0.7611940298507462,0.6666666666666666
0.36,0.8859060402684564,0.5930232558139535,0.7611940298507462,0.6666666666666666
0.37,0.8881431767337807,0.6,0.7611940298507462,0.6710526315789473
0.38,0.8881431767337807,0.6,0.7611940298507462,0.6710526315789473
0.39,0.8881431767337807,0.6,0.7611940298507462,0.6710526315789473
0.4,0.8859060402684564,0.5952380952380952,0.746268656716418,0.6622516556291391
0.41,0.8859060402684564,0.5952380952380952,0.746268656716418,0.6622516556291391
0.42,0.883668903803132,0.5903614457831325,0.7313432835820896,0.6533333333333333
0.43,0.883668903803132,0.5903614457831325,0.7313432835820896,0.6533333333333333
0.44,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.45,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.46,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.47,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.48,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.49,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.5,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.51,0.8814317673378076,0.5853658536585366,0.7164179104477612,0.6442953020134228
0.52,0.8859060402684564,0.6,0.7164179104477612,0.6530612244897959
0.53,0.8859060402684564,0.6,0.7164179104477612,0.6530612244897959
0.54,0.8859060402684564,0.6,0.7164179104477612,0.6530612244897959
0.55,0.8859060402684564,0.6,0.7164179104477612,0.6530612244897959
0.56,0.8881431767337807,0.6075949367088608,0.7164179104477612,0.6575342465753424
0.57,0.8926174496644296,0.6233766233766234,0.7164179104477612,0.6666666666666666
0.58,0.8948545861297539,0.631578947368421,0.7164179104477612,0.6713286713286714
0.59,0.8948545861297539,0.631578947368421,0.7164179104477612,0.6713286713286714
0.6,0.8948545861297539,0.631578947368421,0.7164179104477612,0.6713286713286714
0.61,0.8926174496644296,0.6266666666666667,0.7014925373134329,0.6619718309859155
0.62,0.8903803131991052,0.6216216216216216,0.6865671641791045,0.6524822695035462
0.63,0.8903803131991052,0.6216216216216216,0.6865671641791045,0.6524822695035462
0.64,0.8881431767337807,0.6164383561643836,0.6716417910447762,0.6428571428571429
0.65,0.8903803131991052,0.625,0.6716417910447762,0.6474820143884892
0.66,0.8926174496644296,0.6338028169014085,0.6716417910447762,0.6521739130434783
0.67,0.8903803131991052,0.6285714285714286,0.6567164179104478,0.6423357664233577
0.68,0.8903803131991052,0.6285714285714286,0.6567164179104478,0.6423357664233577
0.69,0.8859060402684564,0.6176470588235294,0.6268656716417911,0.6222222222222222
0.7,0.8881431767337807,0.6268656716417911,0.6268656716417911,0.6268656716417911
0.71,0.8881431767337807,0.6268656716417911,0.6268656716417911,0.6268656716417911
0.72,0.8881431767337807,0.6268656716417911,0.6268656716417911,0.6268656716417911
0.73,0.8903803131991052,0.6363636363636364,0.6268656716417911,0.631578947368421
0.74,0.8903803131991052,0.6363636363636364,0.6268656716417911,0.631578947368421
0.75,0.8903803131991052,0.6363636363636364,0.6268656716417911,0.631578947368421
0.76,0.8926174496644296,0.6461538461538462,0.6268656716417911,0.6363636363636364
0.77,0.8948545861297539,0.65625,0.6268656716417911,0.6412213740458015
0.78,0.8948545861297539,0.65625,0.6268656716417911,0.6412213740458015
0.79,0.8948545861297539,0.65625,0.6268656716417911,0.6412213740458015
0.8,0.8948545861297539,0.6612903225806451,0.6119402985074627,0.6356589147286822
0.81,0.8948545861297539,0.6612903225806451,0.6119402985074627,0.6356589147286822
0.82,0.8993288590604027,0.6833333333333333,0.6119402985074627,0.6456692913385826
0.83,0.901565995525727,0.6949152542372882,0.6119402985074627,0.6507936507936508
0.84,0.901565995525727,0.6949152542372882,0.6119402985074627,0.6507936507936508
0.85,0.9038031319910514,0.7068965517241379,0.6119402985074627,0.656
0.86,0.9038031319910514,0.7068965517241379,0.6119402985074627,0.656
0.87,0.9060402684563759,0.7192982456140351,0.6119402985074627,0.6612903225806451
0.88,0.9060402684563759,0.7192982456140351,0.6119402985074627,0.6612903225806451
0.89,0.9105145413870246,0.7454545454545455,0.6119402985074627,0.6721311475409836
0.9,0.9105145413870246,0.7547169811320755,0.5970149253731343,0.6666666666666666
